f_prop,hsev,ys,cat_1,cat_2,cat_3,cat_4,cat_5,cat_2345,cat_1_int,cat_2_int,cat_3_int,cat_4_int,cat_5_int,cat_2345_int,se2,se3,se4,se5,flower_year,idx
-0.019217877094972,-1.0,-2,1,-1,0,0,0,-1,5,-7,0,0,0,-7,2,3,4,5,2018,146
0.0030743363783437994,-2.0,-7,1,0,-1,0,0,-1,5,0,-12,0,0,-12,2,3,4,5,2018,147
0.0074487895716946,-3.0,-7,1,0,0,-1,0,-1,5,0,0,-12,0,-12,2,3,4,5,2018,148
0.0074487895716946,-4.0,-7,1,0,0,0,-1,-1,5,0,0,0,-12,-12,2,3,4,5,2018,149
0.0064794816414686,1.0,-8,-1,1,0,0,0,1,-13,5,0,0,0,5,2,3,4,5,2018,150
0.0064794816414686,1.0,-7,-1,1,0,0,0,1,-12,5,0,0,0,5,2,3,4,5,2018,151
0.0064794816414686,0.0,-8,0,0,0,0,0,0,0,-8,0,0,0,-8,2,3,4,5,2018,152
0.0042572594192464,0.0,-7,0,0,0,0,0,0,0,-7,0,0,0,-7,2,3,4,5,2018,153
-0.020187185025198,0.0,-2,0,0,0,0,0,0,0,-2,0,0,0,-2,2,3,4,5,2018,154
0.0021050284481178,-1.0,-7,0,1,-1,0,0,0,0,5,-12,0,0,-7,2,3,4,5,2018,155
0.0064794816414686,-2.0,-7,0,1,0,-1,0,0,0,5,0,-12,0,-7,2,3,4,5,2018,156
0.0064794816414686,-3.0,-7,0,1,0,0,-1,0,0,5,0,0,-12,-7,2,3,4,5,2018,157
0.0,2.0,-8,-1,0,1,0,0,1,-13,0,5,0,0,5,2,3,4,5,2018,158
0.0,2.0,-7,-1,0,1,0,0,1,-12,0,5,0,0,5,2,3,4,5,2018,159
0.0,1.0,-8,0,-1,1,0,0,0,0,-13,5,0,0,-8,2,3,4,5,2018,160
-0.0022222222222222,1.0,-7,0,-1,1,0,0,0,0,-12,5,0,0,-7,2,3,4,5,2018,161
-0.0266666666666666,1.0,-2,0,-1,1,0,0,0,0,-7,5,0,0,-2,2,3,4,5,2018,162
-0.0043744531933508,0.0,-7,0,0,0,0,0,0,0,0,-7,0,0,-7,2,3,4,5,2018,163
0.0,-1.0,-7,0,0,1,-1,0,0,0,0,5,-12,0,-7,2,3,4,5,2018,164
0.0,-2.0,-7,0,0,1,0,-1,0,0,0,5,0,-12,-7,2,3,4,5,2018,165
-0.016149893108395298,0.0,-8,0,0,0,0,0,0,-8,0,0,0,0,0,2,3,4,5,2018,166
-0.0024433531070699004,0.0,-7,0,0,0,0,0,0,-7,0,0,0,0,0,2,3,4,5,2018,167
-0.001527602191319,0.0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,2,3,4,5,2018,168
-0.027764062440654803,0.0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,2,3,4,5,2018,170
-0.0133387622989264,-1.0,-8,1,-1,0,0,0,-1,5,-13,0,0,0,-13,2,3,4,5,2018,171
-0.0008392449270446002,-1.0,-7,1,-1,0,0,0,-1,5,-12,0,0,0,-12,2,3,4,5,2018,172
-0.0189670341044351,-1.0,-4,1,-1,0,0,0,-1,5,-9,0,0,0,-9,2,3,4,5,2018,173
-0.0014345962389381,-1.0,-2,1,-1,0,0,0,-1,5,-7,0,0,0,-7,2,3,4,5,2018,175
0.0013335886528703,-2.0,-8,1,0,-1,0,0,-1,5,0,-13,0,0,-13,2,3,4,5,2018,176
-0.0004178362510445996,-2.0,-7,1,0,-1,0,0,-1,5,0,-12,0,0,-12,2,3,4,5,2018,177
0.0007550539904197001,-2.0,-2,1,0,-1,0,0,-1,5,0,-7,0,0,-7,2,3,4,5,2018,178
0.0044247787610619,-3.0,-7,1,0,0,-1,0,-1,5,0,0,-12,0,-12,2,3,4,5,2018,179
-0.0105005943732664,-3.0,-2,1,0,0,-1,0,-1,5,0,0,-7,0,-7,2,3,4,5,2018,180
