nid,gridcell,se
6141,1,gridse2
6143,2,gridse2
6144,2,gridse2
6146,2,gridse2
6147,2,gridse2
6148,2,gridse2
6149,2,gridse2
6151,2,gridse2
6153,2,gridse2
6154,2,gridse2
6190,2,gridse2
6192,2,gridse2
6193,2,gridse2
6194,2,gridse2
6199,2,gridse2
6200,2,gridse2
6287,2,gridse2
6334,2,gridse2
6356,2,gridse2
6369,1,gridse2
6371,2,gridse2
6372,2,gridse2
6373,2,gridse2
6374,2,gridse2
6375,2,gridse2
6376,2,gridse2
6377,2,gridse2
6378,2,gridse2
6379,2,gridse2
6380,2,gridse2
6381,2,gridse2
6382,2,gridse2
6383,2,gridse2
6384,2,gridse2
6385,2,gridse2
6386,2,gridse2
6387,2,gridse2
6392,2,gridse2
6395,2,gridse2
6400,2,gridse2
6401,2,gridse2
6403,2,gridse2
6404,2,gridse2
6405,2,gridse2
6406,2,gridse2
6408,2,gridse2
6409,2,gridse2
6410,2,gridse2
6411,2,gridse2
6412,2,gridse2
6413,2,gridse2
6414,2,gridse2
6416,1,gridse2
6417,2,gridse2
6418,1,gridse2
6419,2,gridse2
6420,2,gridse2
6422,1,gridse2
6426,2,gridse2
6427,2,gridse2
6429,2,gridse2
0,1,gridse3
88,3,gridse3
93,3,gridse3
94,3,gridse3
96,3,gridse3
139,3,gridse3
155,1,gridse3
176,3,gridse3
229,2,gridse3
235,1,gridse3
237,1,gridse3
239,1,gridse3
242,1,gridse3
243,1,gridse3
244,3,gridse3
245,2,gridse3
246,3,gridse3
247,3,gridse3
255,3,gridse3
259,3,gridse3
272,3,gridse3
276,3,gridse3
278,3,gridse3
322,3,gridse3
324,3,gridse3
326,3,gridse3
327,2,gridse3
329,3,gridse3
334,1,gridse3
335,3,gridse3
336,3,gridse3
337,1,gridse3
338,3,gridse3
349,2,gridse3
350,3,gridse3
353,3,gridse3
355,1,gridse3
356,3,gridse3
358,1,gridse3
366,3,gridse3
367,3,gridse3
368,3,gridse3
373,2,gridse3
378,1,gridse3
379,2,gridse3
437,1,gridse3
438,1,gridse3
439,3,gridse3
445,1,gridse3
451,1,gridse3
458,1,gridse3
468,2,gridse3
470,3,gridse3
471,3,gridse3
475,3,gridse3
597,1,gridse3
603,3,gridse3
604,3,gridse3
609,3,gridse3
613,3,gridse3
615,3,gridse3
620,2,gridse3
621,1,gridse3
626,1,gridse3
627,3,gridse3
628,3,gridse3
629,3,gridse3
630,2,gridse3
635,3,gridse3
636,2,gridse3
638,3,gridse3
640,2,gridse3
643,3,gridse3
646,3,gridse3
648,3,gridse3
652,3,gridse3
653,3,gridse3
654,3,gridse3
655,3,gridse3
656,3,gridse3
657,3,gridse3
658,3,gridse3
789,3,gridse3
899,1,gridse3
908,3,gridse3
916,1,gridse3
922,3,gridse3
927,3,gridse3
934,3,gridse3
955,2,gridse3
956,1,gridse3
960,1,gridse3
961,1,gridse3
963,2,gridse3
964,3,gridse3
965,3,gridse3
968,3,gridse3
2131,3,gridse3
2143,3,gridse3
2144,1,gridse3
2145,3,gridse3
2147,3,gridse3
2148,1,gridse3
2150,3,gridse3
2151,2,gridse3
2153,3,gridse3
2154,1,gridse3
2155,1,gridse3
2156,3,gridse3
2158,2,gridse3
2159,3,gridse3
2161,3,gridse3
2164,1,gridse3
2165,1,gridse3
2166,2,gridse3
2359,3,gridse3
2360,1,gridse3
2361,3,gridse3
2364,2,gridse3
2370,3,gridse3
2373,3,gridse3
2374,3,gridse3
2378,3,gridse3
2379,3,gridse3
2380,3,gridse3
2383,3,gridse3
2384,3,gridse3
2387,3,gridse3
2388,3,gridse3
2423,1,gridse3
2425,3,gridse3
2426,2,gridse3
2428,1,gridse3
2431,3,gridse3
2433,2,gridse3
2439,2,gridse3
2440,3,gridse3
2441,1,gridse3
2442,3,gridse3
2443,3,gridse3
2541,3,gridse3
2542,3,gridse3
2553,3,gridse3
2566,2,gridse3
2568,3,gridse3
2569,1,gridse3
2570,3,gridse3
2752,3,gridse3
2755,3,gridse3
2757,3,gridse3
2762,1,gridse3
2763,3,gridse3
2764,3,gridse3
2767,1,gridse3
2772,3,gridse3
2773,3,gridse3
2802,3,gridse3
2803,3,gridse3
2810,1,gridse3
2817,1,gridse3
2818,1,gridse3
2842,1,gridse3
2945,3,gridse3
2948,3,gridse3
2954,3,gridse3
3027,1,gridse3
3030,1,gridse3
3322,3,gridse3
3669,3,gridse3
3670,3,gridse3
3719,2,gridse3
3721,3,gridse3
3735,1,gridse3
3737,2,gridse3
3738,3,gridse3
3739,3,gridse3
3753,3,gridse3
3762,2,gridse3
3767,1,gridse3
3769,3,gridse3
3773,1,gridse3
3786,1,gridse3
3797,1,gridse3
3798,1,gridse3
3800,3,gridse3
3801,3,gridse3
3802,3,gridse3
3803,3,gridse3
3804,1,gridse3
3805,2,gridse3
3806,3,gridse3
3808,1,gridse3
3810,2,gridse3
3817,3,gridse3
3818,1,gridse3
3974,1,gridse3
3976,3,gridse3
3977,3,gridse3
3983,1,gridse3
3984,2,gridse3
3985,2,gridse3
3986,2,gridse3
3995,3,gridse3
4117,3,gridse3
4118,1,gridse3
4119,1,gridse3
4121,3,gridse3
4124,3,gridse3
4130,1,gridse3
4134,3,gridse3
4141,3,gridse3
4169,2,gridse3
4183,1,gridse3
4193,2,gridse3
4243,1,gridse3
4247,3,gridse3
4250,2,gridse3
4251,1,gridse3
4253,3,gridse3
4254,1,gridse3
4258,3,gridse3
4259,2,gridse3
4260,1,gridse3
4261,1,gridse3
4262,3,gridse3
4263,2,gridse3
4276,3,gridse3
4277,1,gridse3
4364,1,gridse3
4365,3,gridse3
4366,3,gridse3
4368,3,gridse3
4370,3,gridse3
4378,3,gridse3
4379,2,gridse3
4380,3,gridse3
4385,3,gridse3
4386,3,gridse3
4388,1,gridse3
4389,3,gridse3
4390,1,gridse3
4394,3,gridse3
4395,3,gridse3
4396,3,gridse3
4397,3,gridse3
4398,3,gridse3
4404,3,gridse3
4439,1,gridse3
4441,1,gridse3
4443,1,gridse3
4444,3,gridse3
4447,3,gridse3
4448,3,gridse3
4449,3,gridse3
4450,3,gridse3
4452,3,gridse3
4455,3,gridse3
4458,3,gridse3
4466,3,gridse3
4477,3,gridse3
4478,1,gridse3
4481,1,gridse3
4484,1,gridse3
4490,3,gridse3
4491,3,gridse3
4493,3,gridse3
4494,3,gridse3
4500,2,gridse3
4501,2,gridse3
4502,3,gridse3
4503,3,gridse3
4504,3,gridse3
4506,3,gridse3
4512,3,gridse3
4513,3,gridse3
4514,3,gridse3
4517,3,gridse3
4532,3,gridse3
4534,3,gridse3
4538,3,gridse3
4541,3,gridse3
4542,3,gridse3
4545,3,gridse3
4550,3,gridse3
4551,1,gridse3
4552,3,gridse3
4554,1,gridse3
4579,3,gridse3
4737,3,gridse3
4745,1,gridse3
4746,3,gridse3
4749,1,gridse3
4753,3,gridse3
4754,1,gridse3
4755,3,gridse3
4756,2,gridse3
4757,3,gridse3
4758,2,gridse3
4759,3,gridse3
4760,3,gridse3
4765,3,gridse3
4766,3,gridse3
4767,1,gridse3
4768,1,gridse3
4769,3,gridse3
4770,3,gridse3
4775,3,gridse3
4777,3,gridse3
4791,3,gridse3
4953,3,gridse3
4957,2,gridse3
4958,3,gridse3
4959,1,gridse3
4961,1,gridse3
4962,1,gridse3
4964,3,gridse3
4965,3,gridse3
4969,1,gridse3
4972,1,gridse3
4973,1,gridse3
4974,3,gridse3
4980,3,gridse3
4981,3,gridse3
4982,3,gridse3
4985,3,gridse3
4986,3,gridse3
4989,3,gridse3
4992,3,gridse3
5010,2,gridse3
5046,3,gridse3
5057,3,gridse3
5058,3,gridse3
5061,3,gridse3
5064,1,gridse3
5094,3,gridse3
5185,1,gridse3
5186,2,gridse3
5192,3,gridse3
5193,3,gridse3
5195,3,gridse3
5199,3,gridse3
5200,3,gridse3
5203,3,gridse3
5204,3,gridse3
5220,3,gridse3
5221,3,gridse3
5222,3,gridse3
5223,3,gridse3
5224,3,gridse3
5225,3,gridse3
5226,3,gridse3
5227,3,gridse3
5228,3,gridse3
5229,3,gridse3
5235,1,gridse3
5237,3,gridse3
5238,3,gridse3
5239,3,gridse3
5241,3,gridse3
5242,3,gridse3
5243,3,gridse3
5244,3,gridse3
5309,3,gridse3
5312,3,gridse3
5321,3,gridse3
5322,1,gridse3
5323,1,gridse3
5355,1,gridse3
5357,1,gridse3
5360,1,gridse3
5365,3,gridse3
5368,3,gridse3
5369,1,gridse3
5377,1,gridse3
5378,1,gridse3
5387,3,gridse3
5388,3,gridse3
5451,1,gridse3
5454,3,gridse3
5460,3,gridse3
5465,3,gridse3
5472,1,gridse3
5473,3,gridse3
5476,3,gridse3
5477,3,gridse3
5478,1,gridse3
5479,3,gridse3
5480,3,gridse3
5481,2,gridse3
5482,3,gridse3
5484,3,gridse3
5485,3,gridse3
5486,3,gridse3
5487,3,gridse3
5488,3,gridse3
5489,3,gridse3
5491,3,gridse3
5492,3,gridse3
5531,1,gridse3
5542,1,gridse3
5545,1,gridse3
5548,3,gridse3
5550,3,gridse3
5553,1,gridse3
5554,2,gridse3
5555,1,gridse3
5556,1,gridse3
5557,3,gridse3
5558,3,gridse3
5559,3,gridse3
5560,1,gridse3
5565,3,gridse3
5567,3,gridse3
5570,3,gridse3
5572,3,gridse3
5574,3,gridse3
5575,3,gridse3
5581,3,gridse3
5582,3,gridse3
5583,3,gridse3
5584,3,gridse3
5592,2,gridse3
5593,3,gridse3
5594,3,gridse3
5596,3,gridse3
5598,3,gridse3
5600,3,gridse3
5601,3,gridse3
5602,3,gridse3
5603,1,gridse3
5606,3,gridse3
5607,3,gridse3
5608,3,gridse3
5609,3,gridse3
5610,1,gridse3
5616,1,gridse3
5617,1,gridse3
5619,2,gridse3
5622,1,gridse3
5626,3,gridse3
5628,2,gridse3
5751,3,gridse3
5759,3,gridse3
5764,3,gridse3
5773,1,gridse3
5784,2,gridse3
5791,1,gridse3
5792,2,gridse3
5812,1,gridse3
5814,3,gridse3
5941,2,gridse3
5942,1,gridse3
5943,3,gridse3
5944,1,gridse3
5945,3,gridse3
5947,3,gridse3
5948,1,gridse3
5949,3,gridse3
5950,1,gridse3
5953,3,gridse3
5956,3,gridse3
5957,3,gridse3
5958,3,gridse3
5959,3,gridse3
5963,1,gridse3
5969,1,gridse3
5972,2,gridse3
5973,1,gridse3
5974,3,gridse3
5976,1,gridse3
5980,3,gridse3
5982,3,gridse3
5983,3,gridse3
6002,3,gridse3
6004,3,gridse3
6005,1,gridse3
6010,1,gridse3
6136,1,gridse3
6137,3,gridse3
6140,2,gridse3
6141,1,gridse3
6143,3,gridse3
6144,3,gridse3
6146,3,gridse3
6147,3,gridse3
6148,3,gridse3
6149,3,gridse3
6151,3,gridse3
6153,3,gridse3
6154,3,gridse3
6190,3,gridse3
6192,3,gridse3
6193,3,gridse3
6194,3,gridse3
6199,3,gridse3
6200,3,gridse3
6287,3,gridse3
6334,3,gridse3
6356,3,gridse3
6369,1,gridse3
6371,3,gridse3
6372,3,gridse3
6373,3,gridse3
6374,3,gridse3
6375,2,gridse3
6376,2,gridse3
6377,3,gridse3
6378,3,gridse3
6379,3,gridse3
6380,3,gridse3
6381,3,gridse3
6382,3,gridse3
6383,3,gridse3
6384,3,gridse3
6385,3,gridse3
6386,3,gridse3
6387,3,gridse3
6392,3,gridse3
6395,3,gridse3
6400,3,gridse3
6401,3,gridse3
6403,3,gridse3
6404,3,gridse3
6405,2,gridse3
6406,3,gridse3
6408,3,gridse3
6409,3,gridse3
6410,3,gridse3
6411,3,gridse3
6412,3,gridse3
6413,3,gridse3
6414,3,gridse3
6416,1,gridse3
6417,2,gridse3
6418,2,gridse3
6419,3,gridse3
6420,2,gridse3
6422,1,gridse3
6426,3,gridse3
6427,3,gridse3
6429,3,gridse3
0,1,gridse4
88,4,gridse4
93,4,gridse4
94,4,gridse4
96,4,gridse4
139,4,gridse4
155,1,gridse4
176,4,gridse4
229,2,gridse4
235,1,gridse4
237,1,gridse4
239,1,gridse4
242,1,gridse4
243,1,gridse4
244,4,gridse4
245,2,gridse4
246,4,gridse4
247,4,gridse4
255,4,gridse4
259,4,gridse4
272,4,gridse4
276,4,gridse4
278,4,gridse4
322,4,gridse4
324,4,gridse4
326,4,gridse4
327,2,gridse4
329,4,gridse4
334,1,gridse4
335,4,gridse4
336,4,gridse4
337,1,gridse4
338,4,gridse4
349,3,gridse4
350,4,gridse4
353,4,gridse4
355,1,gridse4
356,4,gridse4
358,2,gridse4
366,4,gridse4
367,4,gridse4
368,4,gridse4
373,2,gridse4
378,1,gridse4
379,3,gridse4
437,1,gridse4
438,2,gridse4
439,4,gridse4
445,1,gridse4
451,1,gridse4
458,1,gridse4
468,3,gridse4
470,4,gridse4
471,4,gridse4
475,4,gridse4
597,1,gridse4
603,4,gridse4
604,4,gridse4
609,4,gridse4
613,4,gridse4
615,4,gridse4
620,3,gridse4
621,1,gridse4
626,1,gridse4
627,4,gridse4
628,4,gridse4
629,4,gridse4
630,2,gridse4
635,4,gridse4
636,2,gridse4
638,4,gridse4
640,3,gridse4
643,4,gridse4
646,4,gridse4
648,4,gridse4
652,4,gridse4
653,4,gridse4
654,4,gridse4
655,4,gridse4
656,4,gridse4
657,4,gridse4
658,4,gridse4
789,4,gridse4
899,1,gridse4
908,4,gridse4
916,1,gridse4
922,4,gridse4
927,4,gridse4
934,4,gridse4
955,2,gridse4
956,1,gridse4
960,1,gridse4
961,1,gridse4
963,3,gridse4
964,4,gridse4
965,4,gridse4
968,4,gridse4
2131,4,gridse4
2143,4,gridse4
2144,2,gridse4
2145,4,gridse4
2147,4,gridse4
2148,1,gridse4
2150,4,gridse4
2151,2,gridse4
2153,4,gridse4
2154,1,gridse4
2155,1,gridse4
2156,4,gridse4
2158,3,gridse4
2159,4,gridse4
2161,4,gridse4
2164,1,gridse4
2165,2,gridse4
2166,2,gridse4
2359,4,gridse4
2360,1,gridse4
2361,4,gridse4
2364,3,gridse4
2370,4,gridse4
2373,4,gridse4
2374,4,gridse4
2378,4,gridse4
2379,4,gridse4
2380,4,gridse4
2383,4,gridse4
2384,4,gridse4
2387,4,gridse4
2388,4,gridse4
2423,1,gridse4
2425,4,gridse4
2426,2,gridse4
2428,1,gridse4
2431,4,gridse4
2433,3,gridse4
2439,2,gridse4
2440,4,gridse4
2441,1,gridse4
2442,4,gridse4
2443,4,gridse4
2541,4,gridse4
2542,4,gridse4
2553,4,gridse4
2566,3,gridse4
2568,4,gridse4
2569,1,gridse4
2570,4,gridse4
2752,4,gridse4
2755,4,gridse4
2757,4,gridse4
2762,2,gridse4
2763,4,gridse4
2764,4,gridse4
2767,1,gridse4
2772,4,gridse4
2773,4,gridse4
2802,4,gridse4
2803,4,gridse4
2810,1,gridse4
2817,2,gridse4
2818,2,gridse4
2842,1,gridse4
2945,4,gridse4
2948,4,gridse4
2954,4,gridse4
3027,2,gridse4
3030,1,gridse4
3322,4,gridse4
3669,4,gridse4
3670,4,gridse4
3719,2,gridse4
3721,4,gridse4
3735,1,gridse4
3737,2,gridse4
3738,4,gridse4
3739,4,gridse4
3753,4,gridse4
3762,3,gridse4
3767,1,gridse4
3769,4,gridse4
3773,1,gridse4
3786,1,gridse4
3797,1,gridse4
3798,1,gridse4
3800,4,gridse4
3801,4,gridse4
3802,4,gridse4
3803,4,gridse4
3804,1,gridse4
3805,3,gridse4
3806,4,gridse4
3808,1,gridse4
3810,2,gridse4
3817,4,gridse4
3818,1,gridse4
3974,2,gridse4
3976,4,gridse4
3977,4,gridse4
3983,1,gridse4
3984,2,gridse4
3985,2,gridse4
3986,2,gridse4
3995,4,gridse4
4117,4,gridse4
4118,1,gridse4
4119,1,gridse4
4121,4,gridse4
4124,4,gridse4
4130,1,gridse4
4134,4,gridse4
4141,4,gridse4
4169,2,gridse4
4183,2,gridse4
4193,3,gridse4
4243,1,gridse4
4247,4,gridse4
4250,2,gridse4
4251,1,gridse4
4253,4,gridse4
4254,1,gridse4
4258,4,gridse4
4259,2,gridse4
4260,1,gridse4
4261,2,gridse4
4262,4,gridse4
4263,3,gridse4
4276,4,gridse4
4277,2,gridse4
4364,1,gridse4
4365,4,gridse4
4366,4,gridse4
4368,4,gridse4
4370,4,gridse4
4378,4,gridse4
4379,2,gridse4
4380,4,gridse4
4385,4,gridse4
4386,4,gridse4
4388,1,gridse4
4389,4,gridse4
4390,2,gridse4
4394,4,gridse4
4395,4,gridse4
4396,4,gridse4
4397,4,gridse4
4398,4,gridse4
4404,4,gridse4
4439,1,gridse4
4441,1,gridse4
4443,1,gridse4
4444,4,gridse4
4447,4,gridse4
4448,4,gridse4
4449,4,gridse4
4450,4,gridse4
4452,4,gridse4
4455,4,gridse4
4458,4,gridse4
4466,4,gridse4
4477,4,gridse4
4478,1,gridse4
4481,1,gridse4
4484,2,gridse4
4490,4,gridse4
4491,4,gridse4
4493,4,gridse4
4494,4,gridse4
4500,3,gridse4
4501,3,gridse4
4502,4,gridse4
4503,4,gridse4
4504,4,gridse4
4506,4,gridse4
4512,4,gridse4
4513,4,gridse4
4514,4,gridse4
4517,4,gridse4
4532,4,gridse4
4534,4,gridse4
4538,4,gridse4
4541,4,gridse4
4542,4,gridse4
4545,4,gridse4
4550,4,gridse4
4551,1,gridse4
4552,4,gridse4
4554,1,gridse4
4579,4,gridse4
4737,3,gridse4
4745,1,gridse4
4746,4,gridse4
4749,1,gridse4
4753,4,gridse4
4754,1,gridse4
4755,3,gridse4
4756,3,gridse4
4757,4,gridse4
4758,3,gridse4
4759,4,gridse4
4760,4,gridse4
4765,4,gridse4
4766,4,gridse4
4767,1,gridse4
4768,2,gridse4
4769,4,gridse4
4770,4,gridse4
4775,4,gridse4
4777,4,gridse4
4791,4,gridse4
4953,4,gridse4
4957,3,gridse4
4958,3,gridse4
4959,1,gridse4
4961,1,gridse4
4962,1,gridse4
4964,4,gridse4
4965,4,gridse4
4969,1,gridse4
4972,1,gridse4
4973,1,gridse4
4974,4,gridse4
4980,4,gridse4
4981,4,gridse4
4982,4,gridse4
4985,4,gridse4
4986,4,gridse4
4989,4,gridse4
4992,4,gridse4
5010,2,gridse4
5046,4,gridse4
5057,4,gridse4
5058,4,gridse4
5061,4,gridse4
5064,2,gridse4
5094,4,gridse4
5185,1,gridse4
5186,3,gridse4
5192,4,gridse4
5193,4,gridse4
5195,4,gridse4
5199,4,gridse4
5200,4,gridse4
5203,4,gridse4
5204,4,gridse4
